date,DXY,VIX,VXN,US10YT,DJI,SPX,NDX,IXIC
2022-02-09 14:00:00,95.407,20.82,28.33,1.927,35462.78,4521.54,14747.026,14194.455
2022-02-09 13:00:00,95.505,20.93,28.33,1.9198,35462.78,4521.54,14747.026,14194.455
2022-02-09 12:00:00,95.535,20.89,28.33,1.9234,35462.78,4521.54,14747.026,14194.455
2022-02-09 11:00:00,95.629,21.44,28.33,1.9325,35462.78,4521.54,14747.026,14194.455
2022-02-09 10:00:00,95.597,21.44,28.33,1.9433,35462.78,4521.54,14747.026,14194.455
2022-02-09 09:00:00,95.562,21.44,28.33,1.9379,35462.78,4521.54,14747.026,14194.455
2022-02-09 08:00:00,95.534,21.44,28.33,1.9468,35462.78,4521.54,14747.026,14194.455
2022-02-09 07:00:00,95.506,21.44,28.33,1.945,35462.78,4521.54,14747.026,14194.455
2022-02-09 06:00:00,95.491,21.44,28.33,1.9396,35462.78,4521.54,14747.026,14194.455
2022-02-09 05:00:00,95.561,21.44,28.33,1.9396,35462.78,4521.54,14747.026,14194.455
2022-02-09 04:00:00,95.637,21.44,28.33,1.9523,35462.78,4521.54,14747.026,14194.455
2022-02-09 03:00:00,95.627,21.44,28.33,1.9541,35462.78,4521.54,14747.026,14194.455
2022-02-09 02:00:00,95.612,21.44,28.33,1.965,35462.78,4521.54,14747.026,14194.455
2022-02-09 01:00:00,95.616,21.44,28.33,1.965,35462.78,4521.54,14747.026,14194.455
2022-02-09 00:00:00,95.601,21.68,28.45,1.9632,35458.63,4520.85,14743.162,14190.52
2022-02-08 23:00:00,95.643,22.16,29.23,1.9559,35322.32,4499.72,14656.534,14107.349
2022-02-08 22:00:00,95.576,21.79,28.93,1.9523,35457.53,4516.05,14702.606,14148.991
2022-02-08 21:00:00,95.6,21.63,28.79,1.9596,35430.73,4518.81,14737.071,14178.581
2022-02-08 20:00:00,95.633,21.86,28.95,1.9596,35400.95,4513.37,14700.436,14140.726
2022-02-08 19:00:00,95.621,22.29,29.44,1.9686,35222.7,4491.71,14620.055,14070.3
2022-02-08 18:00:00,95.666,22.95,30.24,1.9614,35179.09,4477.12,14533.515,13980.091
2022-02-08 17:00:00,95.646,22.82,30.02,1.9559,35091.13,4483.87,14571.248,14015.668
2022-02-08 16:00:00,95.604,23.08,30.02,1.945,35091.13,4483.87,14571.248,14015.668
2022-02-08 15:00:00,95.529,23.2,30.02,1.9486,35091.13,4483.87,14571.248,14015.668
2022-02-08 14:00:00,95.501,22.87,30.02,1.9323,35091.13,4483.87,14571.248,14015.668
2022-02-08 13:00:00,95.617,22.82,30.02,1.9414,35091.13,4483.87,14571.248,14015.668
2022-02-08 12:00:00,95.63,22.74,30.02,1.9396,35091.13,4483.87,14571.248,14015.668
2022-02-08 11:00:00,95.711,22.86,30.02,1.9541,35091.13,4483.87,14571.248,14015.668
2022-02-08 10:00:00,95.594,22.86,30.02,1.9468,35091.13,4483.87,14571.248,14015.668
2022-02-08 09:00:00,95.623,22.86,30.02,1.9468,35091.13,4483.87,14571.248,14015.668
2022-02-08 08:00:00,95.572,22.86,30.02,1.9467,35091.13,4483.87,14571.248,14015.668
2022-02-08 07:00:00,95.516,22.86,30.02,1.9376,35091.13,4483.87,14571.248,14015.668
2022-02-08 06:00:00,95.522,22.86,30.02,1.9376,35091.13,4483.87,14571.248,14015.668
2022-02-08 05:00:00,95.471,22.86,30.02,1.934,35091.13,4483.87,14571.248,14015.668
2022-02-08 04:00:00,95.432,22.86,30.02,1.9303,35091.13,4483.87,14571.248,14015.668
2022-02-08 03:00:00,95.415,22.86,30.02,1.9195,35091.13,4483.87,14571.248,14015.668
2022-02-08 02:00:00,95.417,22.86,30.02,1.9195,35091.13,4483.87,14571.248,14015.668
2022-02-08 01:00:00,95.413,22.86,30.02,1.9177,35091.13,4483.87,14571.248,14015.668
2022-02-08 00:00:00,95.431,23.16,30.34,1.9213,35091.66,4484.12,14573.066,14015.752
2022-02-07 23:00:00,95.399,22.44,29.43,1.9159,35275.16,4512.33,14690.342,14124.464
2022-02-07 22:00:00,95.514,22.65,29.95,1.9177,35206.86,4506.94,14678.953,14109.654
2022-02-07 21:00:00,95.578,23.43,30.77,1.9231,35051.89,4489.12,14609.489,14047.16
2022-02-07 20:00:00,95.478,23.29,30.55,1.9249,35104.98,4494.36,14625.542,14053.563
2022-02-07 19:00:00,95.415,22.8,29.98,1.9394,35167.69,4511.0,14737.405,14163.567
2022-02-07 18:00:00,95.457,23.07,30.13,1.9322,35064.21,4511.01,14790.409,14219.04
2022-02-07 17:00:00,95.469,23.64,30.32,1.9303,35089.74,4500.53,14694.351,14098.007
2022-02-07 16:00:00,95.381,23.79,30.32,1.9231,35089.74,4500.53,14694.351,14098.007
2022-02-07 15:00:00,95.454,24.28,30.32,1.9267,35089.74,4500.53,14694.351,14098.007
2022-02-07 14:00:00,95.606,24.55,30.32,1.9231,35089.74,4500.53,14694.351,14098.007
2022-02-07 13:00:00,95.574,24.53,30.32,1.9122,35089.74,4500.53,14694.351,14098.007
2022-02-07 12:00:00,95.509,24.3,30.32,1.9068,35089.74,4500.53,14694.351,14098.007
2022-02-07 11:00:00,95.509,23.22,30.32,1.9068,35089.74,4500.53,14694.351,14098.007
2022-02-07 10:00:00,95.56,23.22,30.32,1.9068,35089.74,4500.53,14694.351,14098.007
2022-02-07 09:00:00,95.576,23.22,30.32,1.8996,35089.74,4500.53,14694.351,14098.007
2022-02-07 08:00:00,95.521,23.22,30.32,1.9031,35089.74,4500.53,14694.351,14098.007
2022-02-07 07:00:00,95.569,23.22,30.32,1.9085,35089.74,4500.53,14694.351,14098.007
2022-02-07 06:00:00,95.602,23.22,30.32,1.9067,35089.74,4500.53,14694.351,14098.007
2022-02-07 05:00:00,95.507,23.22,30.32,1.9049,35089.74,4500.53,14694.351,14098.007
2022-02-07 04:00:00,95.45,23.22,30.32,1.9031,35089.74,4500.53,14694.351,14098.007
2022-02-07 03:00:00,95.438,23.22,30.32,1.9103,35089.74,4500.53,14694.351,14098.007
2022-02-07 02:00:00,95.478,23.22,30.32,1.9157,35089.74,4500.53,14694.351,14098.007
2022-02-05 05:00:00,95.478,23.22,30.32,1.9157,35089.74,4500.53,14694.351,14098.007
2022-02-05 04:00:00,95.478,23.22,30.32,1.9157,35089.74,4500.53,14694.351,14098.007
2022-02-05 03:00:00,95.478,23.22,30.32,1.9157,35089.74,4500.53,14694.351,14098.007
2022-02-05 02:00:00,95.478,23.22,30.32,1.9157,35089.74,4500.53,14694.351,14098.007
2022-02-05 01:00:00,95.478,23.22,30.32,1.9121,35089.74,4500.53,14694.351,14098.007
2022-02-05 00:00:00,95.442,23.26,30.28,1.923,35087.31,4499.81,14690.352,14094.033
2022-02-04 23:00:00,95.485,22.59,29.91,1.932,35219.12,4523.08,14771.404,14166.687
2022-02-04 22:00:00,95.429,23.12,30.29,1.9284,35171.93,4518.86,14758.642,14151.973
2022-02-04 21:00:00,95.447,23.42,30.78,1.9248,35082.26,4498.24,14663.632,14059.626
2022-02-04 20:00:00,95.45,24.35,31.42,1.9211,34996.97,4481.94,14599.946,14000.23
2022-02-04 19:00:00,95.53,25.69,32.62,1.932,34838.4,4460.34,14518.819,13922.418
2022-02-04 18:00:00,95.654,24.54,31.77,1.9103,35031.23,4484.16,14586.826,13970.013
2022-02-04 17:00:00,95.59,25.86,31.24,1.9139,35111.16,4477.44,14501.112,13878.818
2022-02-04 16:00:00,95.287,24.85,31.24,1.822,35111.16,4477.44,14501.112,13878.818
2022-02-04 15:00:00,95.21,25.97,31.24,1.8131,35111.16,4477.44,14501.112,13878.818
2022-02-04 14:00:00,95.315,25.28,31.24,1.8167,35111.16,4477.44,14501.112,13878.818
2022-02-04 13:00:00,95.282,24.47,31.24,1.8202,35111.16,4477.44,14501.112,13878.818
2022-02-04 12:00:00,95.301,24.24,31.24,1.8328,35111.16,4477.44,14501.112,13878.818
2022-02-04 11:00:00,95.247,24.35,31.24,1.84,35111.16,4477.44,14501.112,13878.818
2022-02-04 10:00:00,95.265,24.35,31.24,1.8364,35111.16,4477.44,14501.112,13878.818
2022-02-04 09:00:00,95.228,24.35,31.24,1.8472,35111.16,4477.44,14501.112,13878.818
2022-02-04 08:00:00,95.176,24.35,31.24,1.845,35111.16,4477.44,14501.112,13878.818
2022-02-04 07:00:00,95.199,24.35,31.24,1.8468,35111.16,4477.44,14501.112,13878.818
2022-02-04 06:00:00,95.199,24.35,31.24,1.8468,35111.16,4477.44,14501.112,13878.818
2022-02-04 05:00:00,95.26,24.35,31.24,1.8342,35111.16,4477.44,14501.112,13878.818
2022-02-04 04:00:00,95.294,24.35,31.24,1.8414,35111.16,4477.44,14501.112,13878.818
2022-02-04 03:00:00,95.353,24.35,31.24,1.836,35111.16,4477.44,14501.112,13878.818
2022-02-04 02:00:00,95.334,24.35,31.24,1.836,35111.16,4477.44,14501.112,13878.818
2022-02-04 01:00:00,95.337,24.35,31.24,1.8324,35111.16,4477.44,14501.112,13878.818
2022-02-04 00:00:00,95.405,25.75,33.19,1.8253,35112.36,4479.1,14513.772,13889.061
2022-02-03 23:00:00,95.379,24.82,31.79,1.8271,35225.71,4496.41,14607.776,13969.2
